Price,Close,High,Low,Open,Volume
Ticker,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS
Date,,,,,
2011-01-24,876.5013427734375,900.9811643332032,872.0434012426404,882.9928251147452,7588
2011-01-25,887.5291137695312,892.378106483861,879.8644783473651,882.2694030662855,10460
2011-01-27,873.9010009765625,894.9199869045142,872.043509196883,887.6855452362889,16626
2011-01-28,891.0289916992188,898.9086286540547,852.4909088142741,875.7780075507065,25588
2011-01-31,893.4142456054688,895.3890714023761,868.1328474920618,891.5958974242798,19838
2011-02-01,885.7301635742188,903.3274515922496,881.8196551257674,903.3274515922496,1011240
2011-02-02,882.73876953125,898.6153784687572,860.3119626792079,880.6857523475837,23786
2011-02-03,876.8141479492188,883.657537443136,867.3507370004805,881.8196176447626,24470
2011-02-04,872.180419921875,883.7164215633809,851.708866955926,851.708866955926,15136
2011-02-07,873.4120483398438,882.9927938891279,865.4541255827983,872.434421242978,42728
2011-02-08,876.63818359375,879.8447812522177,863.5379810063113,870.8701839470419,9196
2011-02-09,859.451416015625,879.0235264812331,848.971236107129,877.8308025181744,66940
2011-02-10,864.4373168945312,870.068409912386,846.194740807612,858.7475089771142,15316
2011-02-11,865.7474975585938,873.9987092438203,845.1195638169331,845.1195638169331,14208
2011-02-14,860.7420654296875,889.2496342493865,850.5356000406401,889.2496342493865,26236
2011-02-15,869.0323486328125,899.0259306165169,864.1832606672203,886.0039178338807,10690
2011-02-16,867.5462646484375,873.5879808657739,861.1525454019571,868.5825111573415,7736
2011-02-17,872.4148559570312,886.7077833115251,861.1721442612402,861.1721442612402,6594
2011-02-18,868.7976684570312,889.1714562613917,865.0240658818203,875.9930614966992,18954
2011-02-21,873.353515625,877.5181692826321,850.5552303679839,868.9150499759396,60156
2011-02-22,874.3505249023438,876.3449223519439,858.9431601722645,868.9540997495819,7764
2011-02-23,868.7780151367188,872.0628993040459,862.325676613609,868.1328194729643,108000
2011-02-24,867.7027587890625,885.7302425320296,840.7593913659442,862.6582406294293,57606
2011-02-25,868.6607055664062,883.7747803245537,850.5354633654443,860.3117330593001,18226
2011-02-28,863.6553955078125,885.7301974492995,859.5493614799018,868.9150104778558,15622
2011-03-01,859.54931640625,868.9149649130816,856.4013380556476,862.2671006450697,23072
2011-03-03,851.7086791992188,859.5492671722593,850.5355267485312,859.5492671722593,51722
2011-03-04,847.231201171875,854.4069266732453,825.5669277448925,851.7087141146081,23712
2011-03-07,840.6029052734375,848.1696815773577,837.630880766567,847.2311977706587,16428
2011-03-08,845.4910888671875,869.6970985196187,832.9383182764334,869.6970985196187,118734
2011-03-09,853.566162109375,861.6022754111195,845.4518577393054,848.5411209735711,45270
2011-03-10,855.5214233398438,862.2670499208573,849.4797073224315,851.70867788101,11020
2011-03-11,849.3428955078125,860.3118912150851,843.6922296802483,856.4013826186529,11920
2011-03-14,845.538330078125,863.7048548603243,842.5902989066356,860.6372878818484,17946
2011-03-15,830.7978515625,844.1837201020206,827.6905046360428,843.7853323152807,34656
2011-03-16,814.8026733398438,835.817630444685,810.7590273175762,835.817630444685,419470
2011-03-17,836.3356323242188,846.3351089940516,820.678970378543,828.6467273725094,83772
2011-03-18,812.6315307617188,844.5622770470827,798.9070405746852,836.6343979822201,129354
2011-03-21,814.10546875,818.8064642393533,785.2223532695131,785.2223532695131,109196
2011-03-22,812.6115112304688,814.3046593725104,809.1853858928373,809.1853858928373,14810
2011-03-23,806.6358032226562,812.7112179647951,802.7714605113359,806.7752292445706,44062
2011-03-24,835.1005859375,838.6064184457668,804.743451430142,804.743451430142,45938
2011-03-25,835.5985717773438,846.9725642826838,828.6467232869154,829.0650499795679,45482
2011-03-28,835.5586547851562,872.0708561573116,827.8498122863836,870.2382334521983,11932
2011-03-29,828.8258666992188,843.3869600246342,825.6587031889723,836.6143675256172,23944
2011-03-30,834.8016967773438,840.5982587248716,824.3240781757793,824.3440170183258,20626
2011-03-31,821.8540649414062,858.5256801516904,800.75945109276,846.574046553291,295464
2011-04-01,832.989013671875,835.9769221774598,806.7950644042394,816.6949915264786,18510
2011-04-04,845.1997680664062,846.5741867052311,823.8660791089026,832.6306118653803,15066
2011-04-05,841.6142578125,861.7129050543714,837.8096344564692,856.5338630914925,32466
2011-04-06,848.526123046875,854.9402054316391,838.6063058870459,850.1595519063924,105762
2011-04-07,856.07568359375,868.4854249581614,848.9644222870835,852.0718666546012,71444
2011-04-08,867.6488037109375,874.4612744121018,841.3950849924187,851.0559897325069,38072
2011-04-11,855.637451171875,873.3059901162668,849.462439884172,870.4773976536128,69166
2011-04-13,850.378662109375,852.5498560753563,841.4149369870875,847.7692026768028,38716
2011-04-15,838.5663452148438,852.5497942973925,836.6142841236095,846.5739779822239,93410
2011-04-18,844.7415771484375,847.7494249358141,827.4515829763834,846.175812345613,94968
2011-04-19,844.1837158203125,850.1395937493384,827.1925157070891,834.8614805629367,16620
2011-04-20,842.2516479492188,849.3629100931017,833.9054418077309,846.5741950974865,30936
2011-04-21,841.2158203125,852.5499343327581,836.9331512498471,841.7934631986532,19428
2011-04-25,840.1998291015625,844.1239876446706,834.6224001743828,836.614339076947,249170
2011-04-26,842.5901489257812,845.7772511439402,838.6062711530826,839.0046589303524,106834
